set C := 1 2 3 4 5 6 7 8 9 10;
set P := 3 4 5 6 7 8 9 10;
set A1 := 1 2;
set A2 :=;
set S := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;

param q :=
    1 28.18
    2 23.75
    3 25.82
    4 47.46
    5 33.32
    6 21.22
    7 14.21
    8 41.98
    9 37.77
    10 49.42;
param ca :=
    1 247.47
    2 214.53
    3 172.12
    4 163.08
    5 170.59
    6 234.67
    7 244.76
    8 209.93
    9 210.73
    10 174.60;
param cc :=
    1 41.24
    2 43.04
    3 32.90
    4 42.70
    5 47.06
    6 46.23
    7 33.27
    8 48.21
    9 30.62
    10 35.10;
param cp :=
    1 11.62
    2 5.15
    3 9.98
    4 9.76
    5 7.87
    6 8.04
    7 8.67
    8 8.28
    9 11.04
    10 7.22;
param sMin := 0;
param sMax := 80;
param s0 := 20;
param d :=
    0 25.26
    1 22.21
    2 47.68
    3 10.68
    4 22.01
    5 10.68
    6 22.01
    7 42.11
    8 14.55
    9 42.11
    10 14.55
    11 42.11
    12 14.55
    13 42.11
    14 14.55
    15 42.90
    16 46.86
    17 42.90
    18 46.86
    19 42.90
    20 46.86
    21 42.90
    22 46.86
    23 42.90
    24 46.86
    25 42.90
    26 46.86
    27 42.90
    28 46.86
    29 42.90
    30 46.86;
param h :=
    1 1.00
    2 1.00
    3 1.00
    4 1.00
    5 1.00;
param p :=
    0 1.0000000000
    1 0.4164076027
    2 0.5835923973
    3 0.2990700972
    4 0.1173375055
    5 0.4191446887
    6 0.1644477087
    7 0.1802600655
    8 0.1188100316
    9 0.0707234412
    10 0.0466140643
    11 0.2526332447
    12 0.1665114439
    13 0.0991184175
    14 0.0653292912
    15 0.1356692601
    16 0.0445908055
    17 0.0894200778
    18 0.0293899538
    19 0.0532286334
    20 0.0174948078
    21 0.0350831760
    22 0.0115308883
    23 0.1901395369
    24 0.0624937078
    25 0.1253216253
    26 0.0411898186
    27 0.0745995643
    28 0.0245188531
    29 0.0491688305
    30 0.0161604608;
