set C := 1 2 3 4 5 6 7 8 9 10;

param q :=
    1 24.96
    2 42.56
    3 28.19
    4 34.55
    5 35.47
    6 21.94
    7 24.84
    8 11.51
    9 17.37
    10 19.98;
param ca :=
    1 178.51
    2 235.15
    3 218.08
    4 214.28
    5 241.69
    6 222.10
    7 172.97
    8 227.62
    9 203.63
    10 202.28;
param cc :=
    1 32.33
    2 35.20
    3 42.96
    4 41.28
    5 40.22
    6 49.07
    7 49.45
    8 49.99
    9 37.57
    10 44.12;
param cp :=
    1 5.27
    2 11.52
    3 9.29
    4 7.51
    5 11.38
    6 5.12
    7 7.47
    8 8.85
    9 5.06
    10 7.30;
param sMin := 0;
param sMax := 80;

namespace t0
{
    set A := 1 2;
    set AAnt :=;
    set P := 3 4 5 6 7 8 9 10;
    set S := 1;

    param p :=
        1 1.0000000000;
    param d :=
        1 18.38;
    param h := 1;
    param s0 := 20;
}

namespace t1
{
    set AAnt := 1 2;
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4 5;

    param p :=
        1 0.0041263008
        2 0.0363630203
        3 0.4734539542
        4 0.0450496639
        5 0.4410070608;
    param d :=
        1 19.24
        2 28.37
        3 33.37
        4 15.80
        5 36.25;
    param h := 1;
}

namespace t2
{
    set A2Ant := 1 2;
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4 5;

    param p :=
        1 0.2074055727
        2 0.1050717178
        3 0.5500599169
        4 0.1201348837
        5 0.0173279089;
    param d :=
        1 31.21
        2 31.69
        3 37.87
        4 33.53
        5 43.03;
    param h := 1;
}

namespace t3
{
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4 5;

    param p :=
        1 0.0255443372
        2 0.0422120931
        3 0.0482315762
        4 0.4103910971
        5 0.4736208963;
    param d :=
        1 48.70
        2 17.23
        3 28.48
        4 33.26
        5 27.43;
    param h := 1;
}

namespace t4
{
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4 5;

    param p :=
        1 0.5358336743
        2 0.0715823768
        3 0.1926815791
        4 0.1839408240
        5 0.0159615458;
    param d :=
        1 42.16
        2 31.58
        3 13.26
        4 22.02
        5 44.43;
    param h := 1;
}
