set C := 1 2 3 4 5 6 7 8 9 10;
set P := 3 4 5 6 7 8 9 10;
set A1 := 2;
set A2 := 1;
set S := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62;

param q :=
    1 40.64
    2 36.49
    3 24.56
    4 35.87
    5 45.62
    6 47.34
    7 33.58
    8 29.69
    9 11.23
    10 25.45;
param ca :=
    1 220.05
    2 186.06
    3 238.65
    4 184.08
    5 161.39
    6 192.34
    7 197.93
    8 246.83
    9 166.31
    10 167.00;
param cc :=
    1 37.33
    2 39.55
    3 32.81
    4 42.66
    5 35.14
    6 36.02
    7 46.44
    8 32.95
    9 30.64
    10 30.92;
param cp :=
    1 11.53
    2 7.70
    3 11.88
    4 5.45
    5 11.70
    6 9.17
    7 11.18
    8 5.71
    9 9.59
    10 8.77;
param sMin := 0;
param sMax := 80;
param s0 := 20;
param d :=
    0 44.30
    1 18.88
    2 27.03
    3 14.86
    4 48.89
    5 14.86
    6 48.89
    7 32.10
    8 27.83
    9 32.10
    10 27.83
    11 32.10
    12 27.83
    13 32.10
    14 27.83
    15 34.80
    16 24.72
    17 34.80
    18 24.72
    19 34.80
    20 24.72
    21 34.80
    22 24.72
    23 34.80
    24 24.72
    25 34.80
    26 24.72
    27 34.80
    28 24.72
    29 34.80
    30 24.72
    31 28.82
    32 42.96
    33 28.82
    34 42.96
    35 28.82
    36 42.96
    37 28.82
    38 42.96
    39 28.82
    40 42.96
    41 28.82
    42 42.96
    43 28.82
    44 42.96
    45 28.82
    46 42.96
    47 28.82
    48 42.96
    49 28.82
    50 42.96
    51 28.82
    52 42.96
    53 28.82
    54 42.96
    55 28.82
    56 42.96
    57 28.82
    58 42.96
    59 28.82
    60 42.96
    61 28.82
    62 42.96;
param h :=
    1 1.00
    2 1.00
    3 1.00
    4 1.00
    5 1.00
    6 1.00;
param p :=
    0 1.0000000000
    1 0.0312982144
    2 0.9687017856
    3 0.0130630703
    4 0.0182351441
    5 0.4043112292
    6 0.5643905564
    7 0.0094478652
    8 0.0036152051
    9 0.0131885674
    10 0.0050465767
    11 0.2924180844
    12 0.1118931448
    13 0.4081954530
    14 0.1561951034
    15 0.0036776962
    16 0.0057701690
    17 0.0014072625
    18 0.0022079426
    19 0.0051338100
    20 0.0080547574
    21 0.0019644412
    22 0.0030821354
    23 0.1138272898
    24 0.1785907946
    25 0.0435557652
    26 0.0683373796
    27 0.1588950363
    28 0.2493004168
    29 0.0608008405
    30 0.0953942629
    31 0.0009599090
    32 0.0027177872
    33 0.0015060617
    34 0.0042641073
    35 0.0003673071
    36 0.0010399554
    37 0.0005762912
    38 0.0016316514
    39 0.0013399667
    40 0.0037938433
    41 0.0021023581
    42 0.0059523993
    43 0.0005127354
    44 0.0014517059
    45 0.0008044627
    46 0.0022776727
    47 0.0297098607
    48 0.0841174291
    49 0.0466136692
    50 0.1319771254
    51 0.0113684137
    52 0.0321873515
    53 0.0178366193
    54 0.0505007603
    55 0.0414729140
    56 0.1174221223
    57 0.0650694633
    58 0.1842309534
    59 0.0158695204
    60 0.0449313200
    61 0.0248986888
    62 0.0704955741;
