set C := 1 2 3 4 5 6 7 8 9 10;

param q :=
    1 17.65
    2 25.53
    3 18.64
    4 13.34
    5 40.10
    6 22.88
    7 27.82
    8 37.93
    9 13.01
    10 19.29;
param ca :=
    1 199.34
    2 196.30
    3 205.32
    4 153.07
    5 190.69
    6 162.46
    7 179.23
    8 155.94
    9 198.42
    10 228.09;
param cc :=
    1 37.69
    2 48.90
    3 49.72
    4 47.48
    5 39.21
    6 43.55
    7 39.93
    8 34.30
    9 42.16
    10 40.50;
param cp :=
    1 5.27
    2 5.89
    3 5.75
    4 8.12
    5 11.48
    6 7.99
    7 11.35
    8 11.66
    9 11.29
    10 8.06;
param sMin := 0;
param sMax := 80;

namespace t0
{
    set A := 1;
    set AAnt := 2;
    set P := 3 4 5 6 7 8 9 10;
    set S := 1;

    param p :=
        1 1.0000000000;
    param d :=
        1 31.17;
    param h := 1;
    param s0 := 20;
}

namespace t1
{
    set AAnt := 1;
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.2189083566
        2 0.0879780942
        3 0.0321276044
        4 0.6609859448;
    param d :=
        1 27.50
        2 38.00
        3 21.10
        4 38.90;
    param h := 1;
}

namespace t2
{
    set A2Ant := 1;
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.0789998983
        2 0.0775046155
        3 0.3536587849
        4 0.4898367013;
    param d :=
        1 13.85
        2 11.80
        3 29.98
        4 43.36;
    param h := 1;
}

namespace t3
{
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.0067874510
        2 0.0125317088
        3 0.2162921810
        4 0.7643886591;
    param d :=
        1 49.18
        2 46.64
        3 39.37
        4 24.73;
    param h := 1;
}

namespace t4
{
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.2793735827
        2 0.1465400950
        3 0.0010472476
        4 0.5730390747;
    param d :=
        1 47.80
        2 26.98
        3 46.77
        4 15.00;
    param h := 1;
}
