set C := 1 2 3 4 5 6 7 8 9 10;

param q :=
    1 15.75
    2 22.23
    3 39.39
    4 11.34
    5 30.72
    6 17.34
    7 48.32
    8 11.26
    9 46.00
    10 38.69;
param ca :=
    1 199.41
    2 240.50
    3 166.99
    4 234.78
    5 160.12
    6 168.48
    7 178.79
    8 214.32
    9 202.09
    10 239.89;
param cc :=
    1 32.17
    2 34.57
    3 40.07
    4 47.01
    5 37.55
    6 40.21
    7 49.62
    8 41.26
    9 39.78
    10 33.21;
param cp :=
    1 11.79
    2 10.25
    3 5.47
    4 8.76
    5 10.91
    6 6.24
    7 11.38
    8 5.24
    9 10.21
    10 8.33;
param sMin := 0;
param sMax := 80;

namespace t0
{
    set A := 1;
    set AAnt := 2;
    set P := 3 4 5 6 7 8 9 10;
    set S := 1;

    param p :=
        1 1.0000000000;
    param d :=
        1 38.62;
    param h := 1;
    param s0 := 20;
}

namespace t1
{
    set AAnt := 1;
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.3934434475
        2 0.0973633935
        3 0.4108553267
        4 0.0983378323;
    param d :=
        1 30.89
        2 44.81
        3 25.04
        4 40.75;
    param h := 1;
}

namespace t2
{
    set A2Ant := 1;
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.0114133315
        2 0.3857524394
        3 0.3601366901
        4 0.2426975389;
    param d :=
        1 26.62
        2 19.76
        3 15.16
        4 22.45;
    param h := 1;
}

namespace t3
{
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.1757237418
        2 0.0030005052
        3 0.1023969727
        4 0.7188787803;
    param d :=
        1 43.15
        2 24.46
        3 41.31
        4 41.81;
    param h := 1;
}

namespace t4
{
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.0217592741
        2 0.2187704175
        3 0.2769189592
        4 0.4825513492;
    param d :=
        1 29.21
        2 49.75
        3 40.77
        4 12.47;
    param h := 1;
}

namespace t5
{
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4;

    param p :=
        1 0.3611389267
        2 0.0676675535
        3 0.4070914389
        4 0.1641020809;
    param d :=
        1 14.64
        2 33.52
        3 18.63
        4 12.31;
    param h := 1;
}
