set C := 1 2 3 4 5 6 7 8 9 10;
set P := 3 4 5 6 7 8 9 10;
set A1 := 1;
set A2 := 2;
set S := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;

param q :=
    1 37.10
    2 44.01
    3 27.51
    4 24.79
    5 43.70
    6 13.57
    7 31.56
    8 42.93
    9 29.19
    10 37.30;
param ca :=
    1 175.94
    2 229.97
    3 174.41
    4 178.90
    5 171.11
    6 224.14
    7 210.44
    8 241.61
    9 157.45
    10 226.09;
param cc :=
    1 45.98
    2 41.47
    3 47.46
    4 43.50
    5 43.36
    6 31.30
    7 33.38
    8 40.20
    9 45.48
    10 30.14;
param cp :=
    1 6.39
    2 6.15
    3 8.05
    4 11.84
    5 11.11
    6 7.26
    7 9.81
    8 5.13
    9 11.50
    10 7.79;
param sMin := 0;
param sMax := 80;
param s0 := 20;
param d :=
    0 15.98
    1 38.68
    2 46.49
    3 41.88
    4 47.35
    5 41.88
    6 47.35
    7 28.05
    8 20.83
    9 28.05
    10 20.83
    11 28.05
    12 20.83
    13 28.05
    14 20.83
    15 48.88
    16 47.41
    17 48.88
    18 47.41
    19 48.88
    20 47.41
    21 48.88
    22 47.41
    23 48.88
    24 47.41
    25 48.88
    26 47.41
    27 48.88
    28 47.41
    29 48.88
    30 47.41;
param h :=
    1 1.00
    2 1.00
    3 1.00
    4 1.00
    5 1.00;
param p :=
    0 1.0000000000
    1 0.3369087294
    2 0.6630912706
    3 0.1577446146
    4 0.1791641148
    5 0.3104671022
    6 0.3526241684
    7 0.0534070843
    8 0.1043375303
    9 0.0606590153
    10 0.1185050995
    11 0.1051138434
    12 0.2053532589
    13 0.1193868250
    14 0.2332373434
    15 0.0353820223
    16 0.0180250621
    17 0.0691232796
    18 0.0352142507
    19 0.0401864033
    20 0.0204726120
    21 0.0785092488
    22 0.0399958507
    23 0.0696375845
    24 0.0354762589
    25 0.1360458761
    26 0.0693073827
    27 0.0790933891
    28 0.0402934359
    29 0.1545189928
    30 0.0787183506;
