set C := 1 2 3 4 5 6 7 8 9 10;
set P := 3 4 5 6 7 8 9 10;
set A1 := 2;
set A2 := 1;
set S := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;

param q :=
    1 13.26
    2 17.11
    3 42.35
    4 11.98
    5 29.95
    6 25.40
    7 31.86
    8 49.13
    9 40.12
    10 47.51;
param ca :=
    1 239.33
    2 218.98
    3 235.90
    4 224.77
    5 188.37
    6 184.92
    7 150.06
    8 247.21
    9 168.07
    10 236.57;
param cc :=
    1 35.60
    2 34.91
    3 43.83
    4 39.04
    5 47.83
    6 42.05
    7 47.07
    8 35.52
    9 38.47
    10 48.75;
param cp :=
    1 6.92
    2 11.54
    3 10.66
    4 5.45
    5 8.17
    6 5.26
    7 7.82
    8 10.94
    9 10.67
    10 11.32;
param sMin := 0;
param sMax := 80;
param s0 := 20;
param d :=
    0 19.20
    1 21.30
    2 11.22
    3 40.42
    4 17.68
    5 40.42
    6 17.68
    7 48.46
    8 18.31
    9 48.46
    10 18.31
    11 48.46
    12 18.31
    13 48.46
    14 18.31
    15 15.10
    16 21.46
    17 15.10
    18 21.46
    19 15.10
    20 21.46
    21 15.10
    22 21.46
    23 15.10
    24 21.46
    25 15.10
    26 21.46
    27 15.10
    28 21.46
    29 15.10
    30 21.46;
param h :=
    1 1.00
    2 1.00
    3 1.00
    4 1.00
    5 1.00;
param p :=
    0 1.0000000000
    1 0.6721453176
    2 0.3278546824
    3 0.3251617669
    4 0.3469835507
    5 0.1586052972
    6 0.1692493853
    7 0.2371391730
    8 0.0880225939
    9 0.2530537124
    10 0.0939298383
    11 0.1156702073
    12 0.0429350898
    13 0.1234328981
    14 0.0458164871
    15 0.1630250753
    16 0.0741140977
    17 0.0605125244
    18 0.0275100695
    19 0.1739657771
    20 0.0790879353
    21 0.0645735530
    22 0.0293562853
    23 0.0795193136
    24 0.0361508938
    25 0.0295164066
    26 0.0134186832
    27 0.0848558981
    28 0.0385770000
    29 0.0314972688
    30 0.0143192184;
