set C := 1 2 3 4 5 6 7 8 9 10;

param q :=
    1 32.67
    2 37.97
    3 43.14
    4 34.24
    5 19.80
    6 49.51
    7 44.84
    8 31.42
    9 47.20
    10 24.49;
param ca :=
    1 235.62
    2 202.62
    3 181.39
    4 246.27
    5 160.22
    6 214.84
    7 210.25
    8 195.96
    9 223.23
    10 204.42;
param cc :=
    1 47.42
    2 44.03
    3 40.89
    4 42.80
    5 35.03
    6 42.78
    7 30.18
    8 44.18
    9 40.59
    10 45.47;
param cp :=
    1 11.89
    2 7.41
    3 11.50
    4 10.48
    5 5.12
    6 5.70
    7 7.50
    8 5.57
    9 11.98
    10 7.90;
param sMin := 0;
param sMax := 80;

namespace t0
{
    set A :=;
    set AAnt := 1 2;
    set P := 3 4 5 6 7 8 9 10;
    set S := 1;

    param p :=
        1 1.0000000000;
    param d :=
        1 22.10;
    param h := 1;
    param s0 := 20;
}

namespace t1
{
    set AAnt :=;
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4 5;

    param p :=
        1 0.0000826376
        2 0.0308709266
        3 0.0634854198
        4 0.1073430778
        5 0.7982179382;
    param d :=
        1 18.02
        2 10.58
        3 17.22
        4 24.00
        5 19.81;
    param h := 1;
}

namespace t2
{
    set A2Ant :=;
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4 5;

    param p :=
        1 0.0955413470
        2 0.1188790147
        3 0.4247839287
        4 0.2789171360
        5 0.0818785736;
    param d :=
        1 19.22
        2 37.00
        3 38.89
        4 32.12
        5 31.53;
    param h := 1;
}

namespace t3
{
    set P := 3 4 5 6 7 8 9 10;
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4 5;

    param p :=
        1 0.1121279411
        2 0.0459328603
        3 0.5635560346
        4 0.0860643564
        5 0.1923188076;
    param d :=
        1 41.39
        2 18.03
        3 19.63
        4 10.19
        5 18.01;
    param h := 1;
}

namespace t4
{
    set PAnt := 3 4 5 6 7 8 9 10;
    set S := 1 2 3 4 5;

    param p :=
        1 0.0041730746
        2 0.1083615095
        3 0.0250258766
        4 0.0851196114
        5 0.7773199279;
    param d :=
        1 37.76
        2 41.82
        3 37.75
        4 12.95
        5 48.53;
    param h := 1;
}
