set C := 1 2 3 4 5 6 7 8 9 10;
set P := 3 4 5 6 7 8 9 10;
set A1 := 1;
set A2 := 2;
set S := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62;

param q :=
    1 40.16
    2 36.77
    3 46.26
    4 31.79
    5 35.83
    6 33.26
    7 47.84
    8 35.73
    9 48.89
    10 11.20;
param ca :=
    1 223.92
    2 162.18
    3 169.42
    4 232.13
    5 233.11
    6 239.85
    7 155.11
    8 183.48
    9 223.60
    10 172.54;
param cc :=
    1 40.53
    2 47.67
    3 46.19
    4 40.76
    5 42.84
    6 31.17
    7 44.59
    8 43.36
    9 46.46
    10 41.16;
param cp :=
    1 10.03
    2 8.96
    3 9.37
    4 11.75
    5 10.75
    6 5.60
    7 7.51
    8 6.78
    9 11.57
    10 6.00;
param sMin := 0;
param sMax := 80;
param s0 := 20;
param d :=
    0 35.28
    1 40.44
    2 45.30
    3 21.02
    4 25.15
    5 21.02
    6 25.15
    7 44.75
    8 11.78
    9 44.75
    10 11.78
    11 44.75
    12 11.78
    13 44.75
    14 11.78
    15 13.11
    16 26.29
    17 13.11
    18 26.29
    19 13.11
    20 26.29
    21 13.11
    22 26.29
    23 13.11
    24 26.29
    25 13.11
    26 26.29
    27 13.11
    28 26.29
    29 13.11
    30 26.29
    31 46.06
    32 32.12
    33 46.06
    34 32.12
    35 46.06
    36 32.12
    37 46.06
    38 32.12
    39 46.06
    40 32.12
    41 46.06
    42 32.12
    43 46.06
    44 32.12
    45 46.06
    46 32.12
    47 46.06
    48 32.12
    49 46.06
    50 32.12
    51 46.06
    52 32.12
    53 46.06
    54 32.12
    55 46.06
    56 32.12
    57 46.06
    58 32.12
    59 46.06
    60 32.12
    61 46.06
    62 32.12;
param h :=
    1 1.00
    2 1.00
    3 1.00
    4 1.00
    5 1.00
    6 1.00;
param p :=
    0 1.0000000000
    1 0.4686286019
    2 0.5313713981
    3 0.2925932941
    4 0.1760353079
    5 0.3317674318
    6 0.1996039663
    7 0.2619780835
    8 0.0306152105
    9 0.1576160272
    10 0.0184192807
    11 0.2970532740
    12 0.0347141578
    13 0.1787186023
    14 0.0208853640
    15 0.1308222672
    16 0.1311558163
    17 0.0152881157
    18 0.0153270948
    19 0.0787076757
    20 0.0789083515
    21 0.0091979147
    22 0.0092213660
    23 0.1483375337
    24 0.1487157403
    25 0.0173349799
    26 0.0173791778
    27 0.0892455294
    28 0.0894730729
    29 0.0104293864
    30 0.0104559776
    31 0.0813830863
    32 0.0494391809
    33 0.0815905835
    34 0.0495652328
    35 0.0095105678
    36 0.0057775479
    37 0.0095348163
    38 0.0057922786
    39 0.0489631750
    40 0.0297445007
    41 0.0490880132
    42 0.0298203383
    43 0.0057219210
    44 0.0034759936
    45 0.0057365099
    46 0.0034848562
    47 0.0922791399
    48 0.0560583938
    49 0.0925144181
    50 0.0562013222
    51 0.0107838994
    52 0.0065510806
    53 0.0108113944
    54 0.0065677834
    55 0.0555186573
    56 0.0337268721
    57 0.0556602096
    58 0.0338128633
    59 0.0064880060
    60 0.0039413804
    61 0.0065045481
    62 0.0039514295;
