set C := 1 2 3 4 5 6;
set P := 2 4 5 6;
set A1 := 1 3;
set A2 := 1 3;

set S := 0 1 2 3 4 5 6;
    
param q :=
    1 5
    2 6
    3 10
    4 11
    5 20
    6 40;

param ca :=
    1 1.5
    2 1.4
    3 1.4
    4 1.3
    5 1.2
    6 1;

param cc :=
    1 0.7
    2 0.7
    3 0.7
    4 0.6
    5 0.6
    6 0.5;

param cp :=
    1 0.3
    2 0.3
    3 0.3
    4 0.3
    5 0.3
    6 0.2;

param sMin := 0;
param sMax := 80;
param s0 := 3;

param d :=
    0 5
    1 10
    2 20
    3 15
    4 30
    5 15
    6 30;
    
param h :=
    1 1.5
    2 1.4
    3 1.6;

param p :=
    0 1
    1 0.5
    2 0.5
    3 0.25
    4 0.25
    5 0.25
    6 0.25;
