set P1 := 1 2 3;
set P2 := 4 5 6;

set S := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;

param f :=
    1 1.5
    2 1.4
    3 1.3
    4 1.4
    5 1.2
    6 1;
    
param q :=
    1 5
    2 10
    3 20
    4 10
    5 20
    6 40;

param sMin := 0;
param sMax := 80;

param d :=
    0 5
    1 10
    2 20
    3 15
    4 30
    5 15
    6 30
    7 20
    8 35
    9 20
    10 35
    11 20
    12 35
    13 20
    14 35
    15 10
    16 40
    17 10
    18 40
    19 10
    20 40
    21 10
    22 40
    23 10
    24 40
    25 10
    26 40
    27 10
    28 40
    29 10
    30 40;

param h :=
    1 1.5
    2 1.4
    3 1.6
    4 1.4
    5 1.8;

param a :=
    1 10
    2 5
    3 0
    4 0
    5 0;

param p :=
    0 1
    1 0.5
    2 0.5
    3 0.25
    4 0.25
    5 0.25
    6 0.25
    7 0.125
    8 0.125
    9 0.125
    10 0.125
    11 0.125
    12 0.125
    13 0.125
    14 0.125
    15 0.0625
    16 0.0625
    17 0.0625
    18 0.0625
    19 0.0625
    20 0.0625
    21 0.0625
    22 0.0625
    23 0.0625
    24 0.0625
    25 0.0625
    26 0.0625
    27 0.0625
    28 0.0625
    29 0.0625
    30 0.0625;
